tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	.​~lock.​wssf-​project-​plan-​on-​a-​page.​pptx#	.​~lock.​wssf-​project-​plan-​on-​a-​page.​pptx#			(868, 803)	(120, 34)
label	.​~lock.​New_​Club_​Spring_​2018_​Training.​pptx#	.​~lock.​New_​Club_​Spring_​2018_​Training.​pptx#			(1001, 101)	(120, 34)
label	chrome-​Play_​Puzzle_​Game_​2048_​2.​desktop	chrome-​Play_​Puzzle_​Game_​2048_​2.​desktop			(736, 1037)	(120, 34)
label	Baseball.​mp3	Baseball.​mp3			(1015, 452)	(91, 17)
label	multimedia_​classroom_​podium-​2020.​pptx	multimedia_​classroom_​podium-​2020.​pptx			(868, 686)	(120, 34)
label	wssf-​project-​plan-​on-​a-​page.​pptx	wssf-​project-​plan-​on-​a-​page.​pptx			(1001, 803)	(120, 34)
label	Forests.​pptx	Forests.​pptx			(1018, 686)	(86, 17)
label	.​~lock.​Mady_​and_​Mia_​Baseball.​pptx#	.​~lock.​Mady_​and_​Mia_​Baseball.​pptx#			(868, 920)	(120, 34)
label	AM_​Last_​Page_​Template.​pptx	AM_​Last_​Page_​Template.​pptx			(868, 569)	(120, 34)
label	lec17-​gui-​events.​pptx	lec17-​gui-​events.​pptx			(868, 452)	(120, 34)
label	4.​3-​Template_​4.​29.​2016.​pptx	4.​3-​Template_​4.​29.​2016.​pptx			(868, 335)	(120, 34)
label	Ch4 Video Effect.​pptx	Ch4 Video Effect.​pptx			(868, 218)	(120, 34)
label	saa-​format-​guide.​pptx	saa-​format-​guide.​pptx			(868, 101)	(120, 34)
label	Home	Home			(1701, 1037)	(40, 17)
menu	Google Chrome	""			(99, 0)	(162, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
